State,Medical.Year,Medical.Status,Decriminalized.Year,Decriminalized.Status,Pseudo.Year,Pseudo.Status,Legalized.Year,Legalized.Status
Massachusetts,2011,"Question 3, passed by 60% voter approval in 2012, legalized medical marijuana and allowed patients to possess up to a 60-day supply of the drug. Patients and caregivers must register with the state department of public health.",2008,"2008's Question 2, passed by voter initiative with 63% of the vote, defined marijuana possession of less than one ounce a civil infraction punishable by a fine of merely $100.",2012,"2008's Question 2, passed by voter initiative with 63% of the vote, defined marijuana possession of less than one ounce a civil infraction punishable by a fine of merely $100. Question 3, passed by 60% voter approval in 2012, legalized medical marijuana and allowed patients to possess up to a 60-day supply of the drug. Patients and caregivers must register with the state department of public health.",0,Illegal
Michigan,2012,Illegal,0,Illegal,0,Illegal,0,Illegal
Minnesota,0,Illegal,1976,"As of 2011, small amounts of marijuana (42.5 grams, or about an ounce) are punishable by a misdemeanor fine of $200. ",0,Illegal,0,Illegal
Mississippi,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Missouri,0,Illegal,1978,Marijuana was originally decriminalized in Mississippi in 1978. A bill in 2004 further lessened penalties of less than 30 grams (about an ounce) to a misdemeanor punishable by a $100-250 fine.,0,Illegal,0,Illegal
Montana,0,"62% of voters approved Initiative 148 in November 2004, removing state-level penalties on the use of marijuana for medical purposes when authorized by a physician for specific medical conditions. A 2011 law, Senate Bill 423, cracked down on prescribing doctors and patients.",0,Illegal,0,Illegal,0,Illegal
Nebraska,2004,Illegal,1977,"First-offense possession of an ounce or less is punishable by a $300 fine, with the next two arrests costing smokers $400 and five days in jail then $500 and up to a week in jail. Second and third offenses are misdemeanors, but only citable, not arrestable.",0,Illegal,0,Illegal
Nevada,0,"Question 9 was passed in November 2000 by a 65-35% margin. The law allows up to an ounce for qualifying patients. However, there was no legal way for citizens to obtain it other than growing it themselves until 2013, when the state approved a regulatory apparatus to oversee dispensaries.",2002,"The first offense is punishable by a misdemeanor with a fine of not more than $600, with subsequent offenses resulting in increasing fines. On the fourth arrest, though, it becomes a felony with a fine of $5000 and 1-4 years of jail time.",2002,"Medical marijuana was legalized in 2000 by Question 9 by a 65-35% margin. In 2002, Nevada reduced criminal penalties of possession of small amounts of marjuana to a $600 fine on the first offense.",0,Illegal
New Hampshire,2000,"In July 2013, New Hampshire's Gov. Maggie Hassan approved HB 573, which legalizes possession of small amounts of marijuana for qualifying patients in the state. Previous attempts were vetoed in 2009 and 2012 by former Gov. John Lynch.",0,Illegal,0,Illegal,0,Illegal
New Jersey,2013,"In 2010, former Gov. Jon Corzine signed the New Jersey Compassionate Use Medical Marijuana Act, which allows for medical use of marijuana. In 2013 the law was amended to allow the sale of multiple strains of cannabis as well as edible marijuana products.",0,Illegal,0,Illegal,0,Illegal
New Mexico,2010,"In April 2007, New Mexico legalized medical marijuana when Governor Bill Richardson signed Senate Bill 523. However, there is a rigid application process and a shortage of marijuana for use by patients in the state.",0,Illegal,0,Illegal,0,Illegal
New York,2007,"Gov. Andrew Cuomo announced a plan for 2014 to let a limited set of hospitals distribute marijuana to qualifying patients in an exploratory phase, but critics have said the plan is too ""timid"" and urged greater relaxation of marijuana laws.",1977,"Since 1977, unlawful possession of less than an ounce of marijuana not in a public place is punishable by a fine of $100. However, New York City cops in particular have been criticized in the past for requesting suspects to turn out their pockets, thus making the possession ""public"" and a Class B misdemeanor punishable by 3 months in jail.",2014,"In 2014, Gov. Andrew Cuomo has established a plan to let a limited set of hospitals distribute marijuana to qualifying patients in an exploratory phase, but critics have said the plan is too ""timid"" and urged greater relaxation of marijuana laws. Non-public possession of marijuana has been punishable by a fine of $100 on the first offense since 1977.",0,Illegal
North Carolina,2014,Illegal,1977,"A 1977 law suspended all jail sentences for minor marijuana possession offenses. Marijuana possession of up to 0.5 oz is not arrestable, and usually thrown out of court. Possession of 1.5 ounces to 10 pounds of marijuana is considered punishable, but it is uncommon for lower weights to be strictly enforced and most offenders get a maximum of three months in jail. Personal use is usually punished with a traffic ticket, and police largely ignore medicinal use.",0,Illegal,0,Illegal
North Dakota,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Ohio,0,Illegal,1976,"Since 1976, possession of small amounts of marijuana is a minor misdemeanor punishable by a fine of $100 for amounts smaller than 100 grams. Possession of more than 200 grams can result in jail time, however.",0,Illegal,0,Illegal
Okahoma,0,Illegal,0,"In 2011, Oklahoma took the unprecedented step of approving legislation that would introduce life sentences for possession of hash, marijuana-infused food, or grinders.",0,Illegal,0,Illegal
Oregon,0,"In November 1998, Ballot Measure 67 established the Oregon Medical Marijuana Act by a 54.6-45.5% margin. Patients with certain qualifying conditions were allowed to use cannabis medicinally and by November 1999, nearly 21,000 patients were registered.",1973,"Since 1973, possession of less than an ounce of marijuana is punishable only by a fine of $500-1,000. Oregon was the first state to decriminalize marijuana. However, growing the plant is a Class A felony. Private use is not punishable, while public use is.",1998,,0,Illegal
Pennsylvania,1998,Illegal,0,Illegal,0,Illegal,0,Illegal
Rhode Island,2006," 2006's Edward O. Hawkins and Thomas C. Slater Medical Marijuana Act legalized medical marijuana under certain circumstances. Possession is limited to 2.5 ounces, and the first medical marijuana dispensary opened in 2013 in Providence.",2013,"As of April 2013, possession of up to an ounce of marijuana is punishable by a $150 fine. Three arrests for possession in an 18-month period, however, would result in a misdemeanor charge with fines or prison time.",2013,"As of April 2013, possession of up to an ounce of marijuana is punishable by a $150 fine. Three arrests for possession in an 18-month period, however, would result in a misdemeanor charge with fines or prison time.",0,Illegal
South Carolina,0,Illegal,0,Illegal,0,Illegal,0,Illegal
South Dakota,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Tennessee,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Texas,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Utah,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Vermont,2004," Senate Bill 76 legalized medical marijuana in July 2004, allowing the possession of up to 2 ounces of usable cannabis and a maximum of three plants, only one of which may be mature.",2013,"In June 2013, Gov. Peter Shumlin signed legislation removing criminal penalties for possession of up to one ounce of marijuana and instead making it a civil infraction.",2013,"In June 2013, Gov. Peter Shumlin signed legislation removing criminal penalties for possession of up to one ounce of marijuana and instead making it a civil infraction.",0,Illegal
Virginia,0,Illegal,0,Possession results in $500 in civil fines.,0,Illegal,0,Illegal
Washington,1998,"Initiative 629 in November 1998 passed with 59% of the vote, permitting patients with certain medical conditions to smoke medical marijuana. A qualified patient and their designated provider could possess up to a 60-day supply, accepted to be 24 ounces of usable marijuana and 15 plants.",2012,"Initiative 502 passed 56-44% in November 2012, making recreational possession of small amounts of marijuana legal for those 21 years of age and older. Previously to the passage of I-502, non-medical marijuana possession was a misdemeanor, often leaving those caught with legal fees, jail time, and a criminal record.",2012,"Initiative 502 passed 56-44% in November 2012, making recreational possession of small amounts of marijuana legal for those 21 years of age and older. Previously to the passage of I-502, non-medical marijuana possession was a misdemeanor, often leaving those caught with legal fees, jail time, and a criminal record.",2012,"Initiative 502 passed 56-44% in November 2012, making recreational possession of small amounts of marijuana legal for those 21 years of age and older. Previously to the passage of I-502, non-medical marijuana possession was a misdemeanor, often leaving those caught with legal fees, jail time, and a criminal record."
West Virginia,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Wisconsin,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Wyoming,0,Illegal,0,Illegal,0,Illegal,0,Illegal
